Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,popularity_sp
Patches,Clarence Carter,193,4,0.639,0.544,4,-12.843,1,0.141,0.617,0.0,0.479,0.793,80.844,44,1970,44
Midnight Cowboy,Ferrante and Teicher,177,4,0.58,0.636,5,-6.401,1,0.0252,0.214,0.001,0.108,0.715,92.476,44,1970,40
Band Of Gold,Freda Payne,212,4,0.608,0.478,11,-9.351,1,0.0369,0.569,0.00207,0.118,0.302,130.989,43,1970,41
Na Na Hey Hey Kiss Him Goodbye,Steam,247,4,0.637,0.916,7,-6.95,1,0.0458,0.0139,2.28e-05,0.21,0.506,114.987,42,1970,42
Love On A Two-Way Street,The Moments,217,4,0.472,0.339,2,-10.969,1,0.0392,0.61,0.0,0.289,0.242,141.357,42,1970,42
"Tighter, Tighter",Alive N Kickin’,168,4,0.407,0.826,8,-10.014,0,0.053,0.0409,0.00014,0.0486,0.794,162.032,41,1970,41
Give Me Just A Little More Time,Chairmen of the Board,162,4,0.576,0.658,0,-5.231,1,0.0344,0.0613,0.0,0.0691,0.629,63.059,41,1970,41
Turn Back The Hands Of Time,Tyrone Davis,178,4,0.563,0.655,6,-6.399,1,0.032,0.168,0.0,0.0484,0.866,117.794,41,1970,41
Everything Is Beautiful,Ray Stevens,212,4,0.39,0.376,5,-15.205,1,0.0366,0.548,0.0,0.212,0.739,108.895,39,1970,39
We’ve Only Just Begun,The Carpenters,239,4,0.374,0.452,6,-5.854,0,0.0308,0.677,1.02e-05,0.284,0.157,84.47,39,1970,54
Don’t Play That Song (YOU Lied),Aretha Franklin with the Dixie Flyers,174,4,0.699,0.454,1,-11.062,0,0.0505,0.74,0.0,0.166,0.692,110.566,37,1970,37
I Just Can’t Help Believing,B.J. Thomas,177,4,0.554,0.464,5,-8.529,1,0.0266,0.483,0.0,0.174,0.537,134.475,37,1970,36
Ma Belle Amie,Tee Set,194,4,0.419,0.492,7,-11.18,1,0.0448,0.11,0.000681,0.168,0.706,86.693,37,1970,38
Up The Ladder To The Roof,The Supremes,191,4,0.533,0.567,10,-13.743,1,0.0539,0.549,2.61e-06,0.177,0.658,120.157,37,1970,36
Lay Down (CANDLES In The Rain),Melanie,459,4,0.317,0.866,7,-4.896,1,0.0703,0.426,0.000445,0.0792,0.603,94.372,36,1970,36
My Baby Loves Lovin’,White Plains,167,4,0.644,0.651,10,-10.871,1,0.0294,0.361,0.0,0.192,0.871,125.844,36,1970,36
"Julie, Do Ya Love Me",Bobby Sherman,172,4,0.425,0.41,9,-15.881,1,0.0341,0.507,2.18e-06,0.3,0.664,82.177,35,1970,36
Which Way You Goin’ Billy?,The Poppy Family,203,4,0.508,0.67,1,-10.834,1,0.0346,0.416,0.0575,0.0868,0.646,93.406,35,1970,35
Psychedelic Shack,The Temptations,230,4,0.663,0.822,5,-13.119,0,0.059,0.199,8.69e-06,0.0626,0.818,108.94,34,1970,34
Indiana Wants Me,R. Dean Taylor,215,4,0.532,0.834,8,-3.87,1,0.0404,0.0614,0.00192,0.314,0.706,88.69,32,1970,31
"Signed, Sealed, Delivered I’m Yours",Stevie Wonder,234,4,0.661,0.813,9,-6.898,1,0.0299,0.0138,0.311,0.324,0.44,109.872,32,1970,76
(I Know) I’m Losing You,Rare Earth,236,4,0.779,0.712,7,-7.246,0,0.0362,0.0359,0.00993,0.12,0.65,120.009,31,1970,43
Love Or Let Me Be Lonely,The Friends of Distinction,203,4,0.565,0.564,9,-12.923,1,0.0274,0.371,0.0,0.197,0.775,95.465,31,1970,31
Gimme Dat Ding,The Pipkins,134,4,0.649,0.741,7,-9.469,1,0.0414,0.598,2.15e-06,0.0295,0.918,96.791,31,1970,31
Ain’t No Mountain High Enough,Diana Ross,206,4,0.207,0.202,11,-16.461,0,0.0383,0.861,0.0517,0.078,0.0791,89.116,30,1970,84
Without Love (THERE Is Nothing),Tom Jones,173,4,0.269,0.252,2,-15.729,1,0.0325,0.752,0.302,0.19,0.599,113.922,28,1970,28
Someday We’ll Be Together,Diana Ross & the Supremes,195,4,0.618,0.363,4,-12.986,1,0.0319,0.0323,0.357,0.104,0.113,117.978,27,1970,53
Eli’s Coming,Three Dog Night,161,4,0.33,0.771,9,-7.059,0,0.102,0.398,0.00283,0.198,0.44,167.128,27,1970,37
Jam Up And Jelly Tight,Tommy Roe,140,4,0.669,0.784,10,-6.648,0,0.0505,0.00708,0.121,0.0637,0.681,121.768,26,1970,26
For The Love Of Him,Bobbi Martin,193,4,0.5,0.81,6,-7.646,0,0.0474,0.0878,0.0607,0.127,0.545,132.046,25,1970,27
Something’s Burning,Kenny Rogers & The First Edition,166,4,0.635,0.566,5,-8.696,1,0.0246,0.372,0.0173,0.106,0.481,109.089,25,1970,38
I’ll Never Fall In Love Again,Dionne Warwick,255,3,0.358,0.547,4,-6.355,1,0.0287,0.794,0.00908,0.108,0.275,145.914,24,1970,57
La La La (IF I Had You),Bobby Sherman,162,4,0.232,0.644,9,-10.51,1,0.0494,0.741,4.65e-05,0.743,0.897,200.423,20,1970,55
(IF You Let Me Make Love To You Then) Why Can’t I Touch You?,Ronnie Dyson,203,4,0.398,0.692,0,-8.596,1,0.045,0.496,0.0,0.394,0.65,93.907,20,1970,19
Come Together / Something *,The Beatles,257,4,0.524,0.364,9,-12.551,0,0.031,0.0258,0.433,0.132,0.505,167.534,14,1970,15
Somebody’s Been Sleeping,100 Proof (Aged in Soul),162,4,0.799,0.528,11,-15.649,0,0.0731,0.0122,0.739,0.0479,0.826,148.03,13,1970,12
Whole Lotta Love / Living Loving Maid,Led Zeppelin,313,4,0.297,0.934,1,-5.606,1,0.0943,0.000274,0.00374,0.78,0.384,79.781,0,1970,0
If,Bread,172,4,0.457,0.499,1,-6.67,1,0.0334,0.247,6.34e-05,0.171,0.0348,127.95,84,1971,84
Your Song,Elton John,241,4,0.552,0.315,3,-11.028,1,0.0299,0.828,5.52e-06,0.101,0.324,128.187,80,1971,80
Wild World,Cat Stevens,200,4,0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,79,1971,77
Proud Mary,Ike & Tina Turner,187,4,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,76,1971,66
"Take Me Home, Country Roads",John Denver,197,4,0.38,0.43,9,-12.564,1,0.0288,0.546,1.71e-05,0.188,0.547,82.204,75,1971,76
Imagine,John Lennon / Plastic Ono Band,187,4,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,75,1971,87
I Think I Love You,the Partridge Family,222,4,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,75,1971,51
Black Magic Woman,Santana,196,4,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,70,1971,60
Tired Of Being Alone,Al Green,172,4,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,69,1971,69
Superstar,The Carpenters,289,4,0.572,0.822,11,-6.015,0,0.361,0.207,0.0,0.359,0.472,94.812,69,1971,68
Love Her Madly,The Doors,198,4,0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,69,1971,67
Bridge Over Troubled Water,Aretha Franklin,293,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1971,68
Me And Bobby Mcgee,Janis Joplin,271,4,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,68,1971,68
Mercy Mercy Me (THE Ecology),Marvin Gaye,193,4,0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,68,1971,68
Domino,Van Morrison,231,4,0.757,0.547,7,-4.572,1,0.0355,0.0115,0.0,0.0445,0.793,126.974,68,1971,67
Gypsy Woman,Brian Hyland,451,4,0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,67,1971,68
Peace Train,Cat Stevens,253,4,0.594,0.682,0,-8.858,1,0.0487,0.051,4.56e-05,0.0919,0.76,82.487,67,1971,48
Brown Sugar,The Rolling Stones,228,4,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.602,67,1971,52
If You Could Read My Mind,Gordon Lightfoot,228,4,0.612,0.24,9,-12.821,1,0.033,0.745,7.86e-05,0.115,0.223,122.565,65,1971,64
If You Really Love Me,Stevie Wonder,184,4,0.692,0.883,7,-4.698,1,0.0582,0.0512,0.0,0.228,0.614,122.984,65,1971,64
Joy To The World,Three Dog Night,220,4,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,65,1971,63
She’s A Lady,Tom Jones,174,4,0.51,0.876,2,-9.101,1,0.161,0.212,0.0,0.248,0.624,119.702,64,1971,65
How Can You Mend A Broken Heart,Bee Gees,383,3,0.467,0.42,4,-6.957,1,0.0398,0.509,2.56e-05,0.0707,0.365,146.512,63,1971,63
Signs,Five Man Electrical Band,234,4,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,63,1971,64
Rose Garden,Lynn Anderson,175,4,0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064,63,1971,63
Just My Imagination (RUNNING Away With Me),The Temptations,228,4,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,63,1971,62
Mr. Big Stuff,Jean Knight,164,4,0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,62,1971,64
Rainy Days And Mondays,The Carpenters,218,4,0.351,0.235,10,-11.513,1,0.0323,0.852,0.0,0.0688,0.218,74.72,62,1971,61
No Matter What,Badfinger,180,4,0.529,0.743,9,-5.523,1,0.0481,0.177,0.0,0.0759,0.78,116.817,59,1971,54
The Night They Drove Old Dixie Down,Joan Baez,211,4,0.505,0.486,0,-9.272,1,0.0336,0.545,0.0,0.222,0.484,125.839,59,1971,60
I Am…I Said,Neil Diamond,213,4,0.247,0.376,10,-14.409,1,0.0272,0.14,4.97e-06,0.109,0.514,90.365,59,1971,59
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,295,4,0.371,0.507,7,-9.805,1,0.0325,0.58,0.0201,0.175,0.535,91.786,59,1971,58
Sweet City Woman,The Stampeders,207,4,0.696,0.736,7,-7.283,1,0.048,0.255,0.0,0.117,0.917,88.133,59,1971,59
For All We Know,The Carpenters,158,4,0.307,0.237,7,-13.437,1,0.0304,0.879,1.65e-05,0.0871,0.194,135.6,58,1971,59
Whatcha See Is Whatcha Get,The Dramatics,214,4,0.641,0.74,6,-8.425,1,0.118,0.249,0.0,0.281,0.914,152.939,58,1971,56
Liar,Three Dog Night,191,4,0.436,0.946,8,-4.755,0,0.103,0.00121,0.0,0.215,0.603,93.544,58,1971,73
Knock Three Times,Tony Orlando and Dawn,176,4,0.774,0.58,1,-10.08,1,0.0512,0.158,0.0,0.0458,0.923,123.127,57,1971,57
(WHERE Do I Begin?) Love Story,Andy Williams,197,4,0.41,0.427,2,-9.695,1,0.0374,0.618,2.08e-06,0.067,0.557,95.193,56,1971,54
Lonely Days,Bee Gees,223,4,0.733,0.594,5,-6.609,1,0.0394,0.0845,0.0,0.112,0.667,84.847,56,1971,9
"Gypsys, Tramps & Thieves",Cher,158,4,0.476,0.677,0,-11.175,1,0.0365,0.211,0.0,0.0601,0.691,170.879,56,1971,60
Theme From Shaft,Isaac Hayes,279,4,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,56,1971,56
You’ve Got A Friend,James Taylor,255,4,0.765,0.317,11,-11.881,0,0.0274,0.88,2.35e-06,0.126,0.524,108.04,55,1971,71
Me And You And A Dog Named Boo,Lobo,177,4,0.628,0.603,6,-10.286,1,0.0312,0.178,1.73e-05,0.0686,0.951,120.782,55,1971,53
The Tears Of A Clown,Smokey Robinson & the Miracles,181,4,0.593,0.607,1,-9.886,1,0.0283,0.147,0.0,0.128,0.953,128.365,55,1971,56
Never Can Say Goodbye,The Jackson 5,179,4,0.527,0.821,2,-7.19,1,0.047,0.337,1.68e-06,0.394,0.835,166.139,55,1971,53
Amos Moses,Jerry Reed,139,4,0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,105.541,54,1971,54
Spanish Harlem,Aretha Franklin,174,4,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75e-05,0.129,0.789,125.166,53,1971,55
Ain’t No Sunshine,Bill Withers,192,4,0.0942,0.995,2,-27.09,0,0.0514,0.315,0.97,0.957,1e-05,83.334,53,1971,83
Groove Me,King Floyd,183,4,0.908,0.421,11,-9.382,1,0.0648,0.26,0.00065,0.0805,0.861,102.977,53,1971,52
Help Me Make It Through The Night,Sammi Smith,248,4,0.459,0.396,7,-7.9,1,0.0241,0.733,0.00304,0.127,0.414,65.861,53,1971,51
Sooner Or Later,Grass Roots,218,4,0.493,0.843,5,-4.893,0,0.0482,0.0019,0.0086,0.0835,0.416,92.827,52,1971,51
Mr. Bojangles,Nitty Gritty Dirt Band,215,3,0.444,0.757,11,-6.884,0,0.0541,0.699,0.0,0.329,0.554,154.26,52,1971,38
Does Anybody Really Know What Time It Is,Chicago,202,4,0.564,0.455,0,-11.615,1,0.0369,0.645,3.05e-06,0.0915,0.697,117.792,51,1971,50
Stick-Up,Honey Cone,222,4,0.31,0.932,11,-4.764,0,0.262,0.000261,3.71e-06,0.349,0.304,135.944,51,1971,50
Yo-Yo,The Osmonds,173,4,0.597,0.642,11,-5.305,0,0.157,0.572,3.5e-06,0.125,0.719,168.825,51,1971,38
Sweet Mary,Wadsworth Mansion,225,4,0.671,0.652,6,-7.86,0,0.0771,0.346,9.56e-05,0.178,0.702,158.418,51,1971,29
Treat Her Like A Lady,Cornelius Brothers & Sister Rose,258,4,0.789,0.908,0,-8.123,1,0.0433,0.141,3.7e-05,0.189,0.909,113.205,50,1971,49
Stay Awhile,The Bells,240,4,0.582,0.622,5,-8.19,0,0.364,0.484,0.707,0.109,0.509,77.929,50,1971,45
Draggin’ The Line,Tommy James,164,4,0.669,0.583,1,-9.165,0,0.0689,0.0521,1.52e-05,0.177,0.647,114.543,50,1971,50
Bring The Boys Home,Freda Payne,87,4,0.33,0.283,0,-15.971,1,0.061,0.575,0.0947,0.235,0.287,157.963,49,1971,49
Smiling Faces Sometimes,The Undisputed Truth,198,4,0.551,0.461,11,-11.778,1,0.0255,0.252,2.39e-06,0.0541,0.739,105.155,49,1971,50
I Just Want To Celebrate,Rare Earth,217,4,0.446,0.929,9,-7.7,1,0.234,0.105,1.59e-06,0.015,0.652,176.462,48,1971,47
Temptation Eyes,Grass Roots,159,4,0.555,0.869,3,-5.479,1,0.0278,0.0104,0.000156,0.108,0.84,134.892,47,1971,46
What’s Going On,Marvin Gaye,231,4,0.565,0.646,1,-4.908,1,0.0352,0.195,0.0,0.0937,0.654,145.966,47,1971,69
For The Good Times,Ray Price,387,3,0.522,0.289,7,-12.013,1,0.0783,0.545,9.62e-05,0.136,0.584,171.497,47,1971,47
One Toke Over The Line,Brewer & Shipley,199,4,0.581,0.806,0,-8.158,1,0.0335,0.156,4.53e-06,0.215,0.87,77.496,46,1971,45
Indian Reservation (THE Lament Of The Cherokee Reservation Indian),Paul Revere & the Raiders,171,4,0.639,0.385,2,-13.253,1,0.0759,0.284,0.00193,0.0873,0.209,131.714,45,1971,45
If I Were Your Woman,Gladys Knight & the Pips,194,4,0.472,0.492,6,-10.435,1,0.0583,0.711,0.107,0.679,0.555,74.09,44,1971,42
Do You Know What I Mean,Lee Michaels,193,4,0.788,0.861,0,-9.745,1,0.0623,0.158,1.35e-05,0.0199,0.95,109.232,44,1971,43
One Less Bell To Answer,The 5th Dimension,210,3,0.398,0.405,11,-6.664,0,0.0258,0.737,4.97e-05,0.131,0.443,99.694,43,1971,42
"When You’re Hot, You’re Hot",Jerry Reed,139,4,0.788,0.832,4,-10.783,1,0.0981,0.354,0.0,0.1,0.91,101.045,41,1971,41
Stoned Love,The Supremes,177,4,0.547,0.657,2,-6.86,1,0.0384,0.357,0.000449,0.0695,0.486,120.035,39,1971,29
I Hear You Knocking,Dave Edmunds,167,4,0.75,0.615,4,-8.956,1,0.0386,0.0233,0.000165,0.0847,0.979,103.353,38,1971,38
Never Ending Song Of Love,Delaney & Bonnie & Friends,200,4,0.669,0.533,0,-14.096,1,0.0273,0.261,0.0,0.156,0.847,92.273,38,1971,39
It Don’t Come Easy,Ringo Starr,208,4,0.632,0.591,10,-13.322,1,0.0502,0.395,0.0,0.0797,0.536,141.702,38,1971,53
Go Away Little Girl,Donny Osmond,150,4,0.302,0.521,7,-5.391,1,0.0354,0.72,4.74e-06,0.123,0.364,101.814,36,1971,36
One Bad Apple,The Osmonds,164,4,0.6,0.567,0,-7.163,1,0.0398,0.382,0.0,0.213,0.92,101.041,36,1971,36
I Woke Up In Love This Morning,The Partridge Family,160,4,0.584,0.552,11,-12.36,0,0.0341,0.281,0.0,0.0842,0.71,137.587,36,1971,36
Stoney End,Barbra Streisand,177,4,0.504,0.656,0,-13.219,1,0.0466,0.0249,2.07e-05,0.154,0.826,120.994,35,1971,34
Put Your Hand In The Hand,Ocean,176,4,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,136.384,35,1971,35
Watching Scotty Grow,Bobby Goldsboro,157,4,0.506,0.401,2,-11.96,1,0.033,0.474,0.00191,0.358,0.567,90.259,32,1971,30
Want Ads,Honey Cone,166,4,0.65,0.812,1,-6.912,1,0.239,0.33,0.000131,0.0833,0.927,189.684,32,1971,32
I Don’t Know How To Love Him,Helen Reddy,220,4,0.408,0.417,2,-7.099,1,0.0269,0.259,1.1e-06,0.154,0.34,71.334,31,1971,40
Somos Novios (IT’S Impossible),Perry Como,187,4,0.535,0.121,1,-16.361,1,0.0354,0.836,0.000298,0.12,0.234,82.477,29,1971,29
Doesn’t Somebody Want To Be Wanted,The Partridge Family,167,4,0.742,0.387,10,-13.822,1,0.0349,0.634,0.0,0.0424,0.878,113.045,29,1971,29
Chick-A-Boom (DON’T Ya Jes’ Love It),Daddy Dewdrop,171,4,0.781,0.732,0,-6.766,1,0.0505,0.0343,0.0,0.173,0.962,124.557,26,1971,26
Don’t Pull Your Love,"Hamilton, Joe Frank & Reynolds",202,3,0.567,0.575,11,-6.618,0,0.0255,0.678,2.33e-05,0.0745,0.62,105.461,26,1971,51
Sweet And Innocent,Donny Osmond,182,4,0.762,0.786,0,-5.08,1,0.044,0.498,0.000201,0.141,0.969,125.524,25,1971,24
Mama’s Pearl,The Jackson 5,407,4,0.365,0.887,9,-9.936,1,0.452,0.0378,0.00332,0.432,0.426,155.164,23,1971,34
Don’t Knock My Love,Wilson Pickett,293,4,0.572,0.425,10,-16.738,1,0.0391,0.384,0.265,0.0817,0.88,113.264,13,1971,24
She’s Not Just Another Woman,8th Day,186,4,0.716,0.864,9,-4.782,0,0.192,0.257,0.0,0.0544,0.874,80.332,12,1971,18
Maggie May/Reason To Believe,Rod Stewart,350,4,0.566,0.585,2,-8.733,1,0.0362,0.721,0.517,0.0911,0.567,129.475,7,1971,7
I’ll Meet You Halfway,the Partridge Family,255,4,0.391,0.693,0,-7.56,1,0.0293,0.000854,1.9e-06,0.104,0.39,103.065,6,1971,28
That’s The Way I’ve Always Heard It Should Be,Carly Simon,258,4,0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,1,1971,45
Have You Ever Seen The Rain / Hey Tonight,Creedence Clearwater Revival,158,4,0.735,0.556,0,-5.863,1,0.0276,0.117,0.0,0.0738,0.877,127.983,0,1971,0
I’ve Found Someone Of My Own,The Free Movement,214,3,0.676,0.334,7,-14.458,1,0.0526,0.803,0.479,0.158,0.776,112.225,0,1971,36
Rocket Man,Elton John,281,4,0.601,0.532,10,-9.119,1,0.0286,0.433,5.95e-06,0.0925,0.342,136.576,82,1972,81
